page_no,line,is_paragraph_end,is_heading,is_header,is_footer,is_bullet_head,is_bullet_body,is_image_caption,is_table_caption,is_table_content,is_toc,is_toc_heading,is_page_no,is_doc_title,pdf_attribute
1,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/340608951",0,0,0,0,0,0,0,0,0,0,0,0,0,"('See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/340608951', 'SourceSansPro-Regular', 6.708657698472621, (39.75500858354123, 761.1490626559092, 335.1501225948452, 767.8577203543819), True, False, 1, 840.95996, 594.95996)"
1,Coronavirus Disease 2019 - COVID-19,0,0,0,0,0,0,0,0,0,0,0,0,0,"('Coronavirus Disease 2019 - COVID-19', 'Martel-Regular', 15.859297808095903, (39.75500858354123, 728.8306476709882, 288.7026325529398, 744.6899454790841), True, False, 1, 840.95996, 594.95996)"
1,Preprint * April 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"('Preprint * April 2020', 'SourceSansPro-Regular', 7.454064109413935, (39.75500858354123, 705.9003418257677, 95.18231642593663, 713.487052033013), False, False, 1, 840.95996, 594.95996)"
1,DOI: 10.20944/preprints202003.0001.v2,0,0,0,0,0,0,0,0,0,0,0,0,0,"('DOI: 10.20944/preprints202003.0001.v2', 'SourceSansPro-Regular', 5.217844876589766, (39.75500858354123, 696.7244665486108, 115.32996591990707, 701.9423114252006), True, False, 1, 840.95996, 594.95996)"
1,CITATIONS,0,0,0,0,0,0,0,0,0,0,0,0,0,"('CITATIONS', 'SourceSansPro-Regular', 5.963251287531193, (39.75500858354123, 664.0035839158094, 63.47860292493643, 669.9668352033406), True, False, 1, 840.95996, 594.95996)"
1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"('5', 'SourceSansPro-Regular', 8.94487693129679, (39.75500858354123, 652.3850791352271, 43.7033331565577, 661.3299560665239), True, False, 1, 840.95996, 594.95996)"
1,"10 authors, including:",0,0,0,0,0,0,0,0,0,0,0,0,0,"('10 authors, including:', 'SourceSansPro-Regular', 7.454064109413935, (39.75500858354123, 627.7154916114699, 100.48363131609854, 635.3022018187153), False, False, 1, 840.95996, 594.95996)"
1,Kuldeep Dhama,0,0,0,0,0,0,0,0,0,0,0,0,0,"('Kuldeep Dhama', 'SourceSansPro-Regular', 7.454064109413935, (66.2583476392354, 609.8257377488763, 110.49420638443286, 617.2798018582903), True, False, 1, 840.95996, 594.95996)"
1,Indian Veterinary Research Institute,0,0,0,0,0,0,0,0,0,0,0,0,0,"('Indian Veterinary Research Institute', 'SourceSansPro-Regular', 7.454064109413935, (66.2583476392354, 599.2244021265988, 164.90499144520825, 606.6784662360127), True, False, 1, 840.95996, 594.95996)"
1,"811 PUBLICATIONS   9,506 CITATIONS",0,0,0,0,0,0,0,0,0,0,0,0,0,"('811 PUBLICATIONS   9,506 CITATIONS', 'SourceSansPro-Regular', 7.454064109413935, (66.2583476392354, 587.2978995515364, 156.94104934068935, 594.7519636609503), False, False, 1, 840.95996, 594.95996)"
1,SEE PROFILE,0,0,0,0,0,0,0,0,0,0,0,0,0,"('SEE PROFILE', 'SourceSansPro-Regular', 5.963251287531193, (73.54676587955129, 571.9044806972721, 102.05338467790213, 577.8677319848033), True, False, 1, 840.95996, 594.95996)"
1,Shubhankar Sircar,0,0,0,0,0,0,0,0,0,0,0,0,0,"('Shubhankar Sircar', 'SourceSansPro-Regular', 7.454064109413935, (66.2583476392354, 546.8803074916028, 117.56974377594378, 554.3343716010168), True, False, 1, 840.95996, 594.95996)"
1,Indian Veterinary Research Institute,0,0,0,0,0,0,0,0,0,0,0,0,0,"('Indian Veterinary Research Institute', 'SourceSansPro-Regular', 7.454064109413935, (66.2583476392354, 536.2789718693251, 164.90499144520825, 543.733035978739), True, False, 1, 840.95996, 594.95996)"
1,41 PUBLICATIONS   364 CITATIONS,0,0,0,0,0,0,0,0,0,0,0,0,0,"('41 PUBLICATIONS   364 CITATIONS', 'SourceSansPro-Regular', 7.454064109413935, (66.2583476392354, 524.3524692942627, 149.18675540645245, 531.8065334036767), False, False, 1, 840.95996, 594.95996)"
1,SEE PROFILE,0,0,0,0,0,0,0,0,0,0,0,0,0,"('SEE PROFILE', 'SourceSansPro-Regular', 5.96325128753125, (73.54676587955129, 508.9590504399985, 102.05338467790213, 514.9223017275298), True, False, 1, 840.95996, 594.95996)"
1,READS,0,0,0,0,0,0,0,0,0,0,0,0,0,"('READS', 'SourceSansPro-Regular', 5.963251287531193, (297.4999809001669, 664.0035839158094, 312.34081549792546, 669.9668352033406), True, False, 1, 840.95996, 594.95996)"
1,"41,071",0,0,0,0,0,0,0,0,0,0,0,0,0,"('41,071', 'SourceSansPro-Regular', 8.94487693129679, (297.4999809001669, 652.3850791352271, 319.2177072490716, 661.3299560665239), True, False, 1, 840.95996, 594.95996)"
1,Sharun Khan,0,0,0,0,0,0,0,0,0,0,0,0,0,"('Sharun Khan', 'SourceSansPro-Regular', 7.454064109413935, (324.00331995586106, 609.8257377488763, 359.84688605277074, 617.2798018582903), True, False, 1, 840.95996, 594.95996)"
1,Indian Veterinary Research Institute,0,0,0,0,0,0,0,0,0,0,0,0,0,"('Indian Veterinary Research Institute', 'SourceSansPro-Regular', 7.454064109413935, (324.00331995586106, 599.2244021265988, 422.649963761834, 606.6784662360127), True, False, 1, 840.95996, 594.95996)"
1,101 PUBLICATIONS   515 CITATIONS,0,0,0,0,0,0,0,0,0,0,0,0,0,"('101 PUBLICATIONS   515 CITATIONS', 'SourceSansPro-Regular', 7.454064109413935, (324.00331995586106, 587.2978995515364, 409.9858201216568, 594.7519636609503), False, False, 1, 840.95996, 594.95996)"
1,SEE PROFILE,0,0,0,0,0,0,0,0,0,0,0,0,0,"('SEE PROFILE', 'SourceSansPro-Regular', 5.963251287531193, (331.291738196177, 571.9044806972721, 359.7983569945278, 577.8677319848033), True, False, 1, 840.95996, 594.95996)"
1,Some of the authors of this publication are also working on these related projects:,0,0,0,0,0,0,0,0,0,0,0,0,0,"('Some of the authors of this publication are also working on these related projects:', 'SourceSansPro-Semibold', 7.512298968704215, (39.75500858354123, 472.7453693742003, 272.62980628694913, 480.25766834290454), True, False, 1, 840.95996, 594.95996)"
1,Corona virus pandemic View project,0,0,0,0,0,0,0,0,0,0,0,0,0,"('Corona virus pandemic View project', 'SourceSansPro-Regular', 7.4540641094139914, (81.49776759625954, 445.65903450081265, 181.1622319198493, 454.6039114321094), True, False, 1, 840.95996, 594.95996)"
1,Evaluation of Bone marrow derived Mesenchymal Stem Cell (BM-MSC) in managing spinal cord injuries in canines View project,0,0,0,0,0,0,0,0,0,0,0,0,0,"('Evaluation of Bone marrow derived Mesenchymal Stem Cell (BM-MSC) in managing spinal cord injuries in canines View project', 'SourceSansPro-Regular', 7.4540641094139914, (81.49776759625954, 415.84277806315674, 428.5336316842072, 424.7876549944535), True, False, 1, 840.95996, 594.95996)"
1,All content following this page was uploaded by Alfonso J. Rodriguez-Morales on 15 April 2020.,0,0,0,0,0,0,0,0,0,0,0,0,0,"('All content following this page was uploaded by Alfonso J. Rodriguez-Morales on 15 April 2020.', 'SourceSansPro-Regular', 7.454064109413981, (43.06792596550301, 29.40261242917438, 302.3282992455287, 36.85667653858836), True, False, 1, 840.95996, 594.95996)"
1,The user has requested enhancement of the downloaded file.,0,0,0,0,0,0,0,0,0,0,0,0,0,"('The user has requested enhancement of the downloaded file.', 'SourceSansPro-Regular', 5.963251287531186, (43.06792596550301, 14.671777051302477, 178.11072084048135, 20.635028338833663), True, False, 1, 840.95996, 594.95996)"
2,Preprints (www.preprints.org)  |  NOT PEER-REVIEWED  |  Posted: 13 April 2020                   doi:10.20944/preprints202003.0001.v2,0,0,0,0,0,0,0,0,0,0,0,0,0,"('Preprints (www.preprints.org)  |  NOT PEER-REVIEWED  |  Posted: 13 April 2020                   doi:10.20944/preprints202003.0001.v2', 'Helvetica-Bold', 10.710000000000036, (8.0, 825.2969999999999, 556.7470000000001, 836.007), False, False, 2, 841.92, 595.32)"
2,,0,0,0,0,0,0,0,0,0,0,0,0,0,"('', 'TimesNewRomanPS-BoldMT', 10.716000000000008, (72.024, 750.148, 75.024, 760.864), True, False, 2, 841.92, 595.32)"
2,Coronavirus Disease 2019 - COVID-19,0,0,0,0,0,0,0,0,0,0,0,0,0,"('Coronavirus Disease 2019 - COVID-19', 'TimesNewRomanPS-BoldMT', 10.716000000000008, (72.024, 729.028, 275.81, 739.744), True, False, 2, 841.92, 595.32)"
2,,0,0,0,0,0,0,0,0,0,0,0,0,0,"('', 'TimesNewRomanPS-BoldMT', 10.716000000000008, (72.024, 707.788, 75.024, 718.504), True, False, 2, 841.92, 595.32)"
2,"Kuldeep  Dhama,a  Khan  Sharun,b  Ruchi  Tiwari,c Shubhankar  Sircar,d Sudipta  Bhat,d Yashpal",0,0,0,0,0,0,0,0,0,0,0,0,0,"('Kuldeep  Dhama,a  Khan  Sharun,b  Ruchi  Tiwari,c Shubhankar  Sircar,d Sudipta  Bhat,d Yashpal', 'TimesNewRomanPSMT', 10.908000000000015, (72.024, 686.668, 526.396, 699.3917200000001), True, False, 2, 841.92, 595.32)"
2,"Singh  Malik,d*  Karam  Pal  Singh,a  Wanpen  Chaicumpa,e  D.  Katterine  Bonilla-Aldana,f,g,h",0,0,0,0,0,0,0,0,0,0,0,0,0,"('Singh  Malik,d*  Karam  Pal  Singh,a  Wanpen  Chaicumpa,e  D.  Katterine  Bonilla-Aldana,f,g,h', 'TimesNewRomanPSMT', 10.908000000000015, (72.024, 671.428, 526.42, 684.1517200000001), True, False, 2, 841.92, 595.32)"
2,"Alfonso J Rodriguez-Morales,g,h,i*",0,0,0,0,0,0,0,0,0,0,0,0,0,"('Alfonso J Rodriguez-Morales,g,h,i*', 'TimesNewRomanPSMT', 10.908000000000015, (72.024, 656.308, 240.89, 669.0317200000001), True, False, 2, 841.92, 595.32)"
2,,0,0,0,0,0,0,0,0,0,0,0,0,0,"('', 'TimesNewRomanPSMT', 7.308359999999993, (72.024, 640.4833600000001, 74.034, 647.79172), True, False, 2, 841.92, 595.32)"
2,Affiliations:,0,0,0,0,0,0,0,0,0,0,0,0,0,"('Affiliations:', 'TimesNewRomanPS-BoldMT', 7.179719999999975, (72.024, 618.76336, 114.95, 625.94308), True, False, 2, 841.92, 595.32)"
