UnreachableQuestions,Why can't I see my employee in the Thrive Reports module?,"NetApp HR Bot,Thrive Program",thrive-program
UnreachableQuestions,what is part of the thrive rewards?,"NetApp HR Bot,Thrive Program,Thrive Rewards",
UnreachableQuestions,what are thrive rewards comprised of?,"NetApp HR Bot,Thrive Program,Thrive Rewards",
UnreachableQuestions,what is the cut-off for thrive rewards?,"NetApp HR Bot,Thrive Program,Thrive Rewards",
UnreachableQuestions,what's the same with thrive rewards?,"NetApp HR Bot,Thrive Program,Thrive Rewards",
UnreachableQuestions,When does thrive start?,"NetApp HR Bot,Thrive Program,Thrive Rewards","timeline,date,thrive"
UnreachableQuestions,Who makes Thrive Rewards decisions?,"NetApp HR Bot,Thrive Program,Thrive Rewards",
UnreachableQuestions,What is new annual compensation program?,"NetApp HR Bot,Thrive Program,Thrive Rewards",
UnreachableQuestions,whats this compensation program?,"NetApp HR Bot,Thrive Program,Thrive Rewards",
UnreachableQuestions,What is Thrive Rewards?,"NetApp HR Bot,Thrive Program,Thrive Rewards",
UnreachableQuestions,when can an employee access the thrive rewards tools?,"NetApp HR Bot,Thrive Program,Thrive Rewards",
UnreachableQuestions,When is Thrive Rewards this year?,"NetApp HR Bot,Thrive Program,Thrive Rewards",
UnreachableQuestions,When is the current year thrive rewards?,"NetApp HR Bot,Thrive Program,Thrive Rewards",
UnreachableQuestions,Tell me if i can go above the rewards instructions for the wages?,"NetApp HR Bot,Thrive Program,Thrive Rewards,Salary",
UnreachableQuestions,when will the thrive rewards letter be open for communication?,"NetApp HR Bot,Thrive Program,Thrive Rewards,FY21",
UnreachableQuestions,when will salary increases show?,"NetApp HR Bot,Thrive Program,Thrive Rewards,FY21",
UnreachableQuestions,when must an employee have started employment to be able to get ICP rewards?,"NetApp HR Bot,Thrive Program,Thrive Rewards,FY21",
UnreachableQuestions,what is my rating?,"NetApp HR Bot,Thrive Program,Performance,Review",rating
UnreachableQuestions,can terminated employees get salary rewards?,"NetApp HR Bot,Thrive Program,Other,terminate",
UnreachableQuestions,if an employee is fired can they get salary rewards?,"NetApp HR Bot,Thrive Program,Other,terminate",
UnreachableQuestions,do managers have resources?,"NetApp HR Bot,Thrive Program,Other,Resource,Manager",resources
UnreachableQuestions,what sort of resources do managers have?,"NetApp HR Bot,Thrive Program,Other,Resource,Manager",resources
UnreachableQuestions,are there resources at a managers disposal?,"NetApp HR Bot,Thrive Program,Other,Resource,Manager",resources
UnreachableQuestions,what tools do managers have at their disposal?,"NetApp HR Bot,Thrive Program,Other,Resource,Manager",tools
UnreachableQuestions,will commission stay?,"NetApp HR Bot,Thrive Program,sales",
UnreachableQuestions,will commission still be available?,"NetApp HR Bot,Thrive Program,sales",
UnreachableQuestions,is commission changing?,"NetApp HR Bot,Thrive Program,sales",
UnreachableQuestions,I never got my bubble chart,"NetApp HR Bot,Thrive Program,People Central,Scattergram",bubble-chart
UnreachableQuestions,where is my bubble chart?,"NetApp HR Bot,Thrive Program,People Central,Scattergram",bubble-chart
UnreachableQuestions,what should not be shared?,"NetApp HR Bot,Thrive Program,Share",
UnreachableQuestions,what are our rules for budgeting?,"NetApp HR Bot,Thrive Program,Budget",
UnreachableQuestions,budgeting guidelines,"NetApp HR Bot,Thrive Program,Budget",
UnreachableQuestions,are there any changes between the surveys?,"NetApp HR Bot,Thrive Program,Thrive Survey",
UnreachableQuestions,Can i view the Thrive surveys?,"NetApp HR Bot,Thrive Program,Thrive Survey",
UnreachableQuestions,When does promotions take effect for FY21?,"NetApp HR Bot,Thrive Program,Promotion",when
UnreachableQuestions,when will an employee get his promotions for FY21,"NetApp HR Bot,Thrive Program,Promotion",
UnreachableQuestions,are we going to change the process for promotions?,"NetApp HR Bot,Thrive Program,Promotion",
UnreachableQuestions,How do I enroll in my benefits?,"NetApp HR Bot,U.S. Benefits,Eligibility & Enrollment",enroll
UnreachableQuestions,How to sign up for benefits?,"NetApp HR Bot,U.S. Benefits,Eligibility & Enrollment",sign-up
UnreachableQuestions,How to enroll in medical benefits?,"NetApp HR Bot,U.S. Benefits,Eligibility & Enrollment",enroll
UnreachableQuestions,When can I make changes to my benefits?,"NetApp HR Bot,U.S. Benefits,Eligibility & Enrollment",benefits
UnreachableQuestions,What is my sick or vacation balance?,"NetApp HR Bot,U.S. Benefits,Time off","PTO,Vacation,sick-days"
UnreachableQuestions,How do I find my time off balance?,"NetApp HR Bot,U.S. Benefits,Time off","PTO,vacation,sick-days"
UnreachableQuestions,Where do I log my vacation?,"NetApp HR Bot,U.S. Benefits,Time off",vacation
UnreachableQuestions,where do i log sick days?,"NetApp HR Bot,U.S. Benefits,Time off",sick-days
UnreachableQuestions,Where's my group number?,"NetApp HR Bot,U.S. Benefits,General",group-number
UnreachableQuestions,Is there a Contact List for NetApp's Benefits Providers?,"NetApp HR Bot,U.S. Benefits,General",provider
UnreachableQuestions,What are my benefits providers?,"NetApp HR Bot,U.S. Benefits,General",benefits-providers
UnreachableQuestions,Who are the benefits providers for NetApp?,"NetApp HR Bot,U.S. Benefits,General",benefits-providers
UnreachableQuestions,Where can I find my dental benefits information?,"NetApp HR Bot,U.S. Benefits,General","benefits,dental,coverage"
UnreachableQuestions,What's my benefits?,"NetApp HR Bot,U.S. Benefits,General","benefits,coverage"
UnreachableQuestions,What's my dental benefits?,"NetApp HR Bot,U.S. Benefits,General","benefits,dental,coverage"
UnreachableQuestions,what is my health benefits?,"NetApp HR Bot,U.S. Benefits,General","benefits,health-benefits,coverage"
UnreachableQuestions,What is my vision benefits?,"NetApp HR Bot,U.S. Benefits,General","benefits,vision-benefits,coverage"
UnreachableQuestions,Where can i find my benefits?,"NetApp HR Bot,U.S. Benefits,General",benefits
UnreachableQuestions,my benefits,"NetApp HR Bot,U.S. Benefits,General",benefits
UnreachableQuestions,Where can I learn more about my retirement plan?,"NetApp HR Bot,U.S. Benefits,401K",retirement-plan
UnreachableQuestions,What is NetApp's LOA policy?,"NetApp HR Bot,U.S. Benefits,Leave of absence","leave-of-absence,loa"
UnreachableQuestions,Where do I log in to ADP?,"NetApp HR Bot,HR General","paycheck,adp"
UnreachableQuestions,Where is my paycheck information?,"NetApp HR Bot,HR General","paycheck,adp"
UnreachableQuestions,where to log expenses?,"NetApp HR Bot,HR General",
UnreachableQuestions,Where can I access People Central?,"NetApp HR Bot,HR General","people-central,success-factor"
UnreachableQuestions,Where can I access success factor?,"NetApp HR Bot,HR General","people-central,success-factor"
UnreachableQuestions,Who can participate in the Volunteer Time Off program?,"NetApp HR Bot,NetApp Serves","vto,volunteer"
UnreachableQuestions,Where do I log my VTO?,"NetApp HR Bot,NetApp Serves","VTO,log,timeoff,volunteer"
UnreachableQuestions,What criteria makes a hire an Early in Career Employee?,"NetApp HR Bot,Talent Acquisition,Early in Career",EIC
UnreachableQuestions,Who would be an early in career candidate?,"NetApp HR Bot,Talent Acquisition,Early in Career",EIC
UnreachableQuestions,"I would like to refer a friend, what's the process?","NetApp HR Bot,Talent Acquisition,Employee Referral Program",refer
UnreachableQuestions,How do I hire a new employee on my team?,"NetApp HR Bot,Talent Acquisition,Global Hiring Process","requisition,hire"
UnreachableQuestions,How do I hire for my team?,"NetApp HR Bot,Talent Acquisition,Global Hiring Process",team
UnreachableQuestions,Where do I see internal postings?,"NetApp HR Bot,Talent Acquisition,Internal Job Opportunities",internal-postings
UnreachableQuestions,What jobs are open at netapp?,"NetApp HR Bot,Talent Acquisition,Internal Job Opportunities",open-jobs
UnreachableQuestions,How do I apply for another job at NetApp?,"NetApp HR Bot,Talent Acquisition,Internal Job Opportunities","career-growth,transfer"
UnreachableQuestions,What jobs do I qualify for at NetApp?,"NetApp HR Bot,Talent Acquisition,Internal Job Opportunities","career-growth,transfer"
UnreachableQuestions,How can I find a new job at NetApp?,"NetApp HR Bot,Talent Acquisition,Internal Job Opportunities",
UnreachableQuestions,What is the next job for me at NetApp?,"NetApp HR Bot,Talent Acquisition,Internal Job Opportunities",
UnreachableQuestions,What positions are open at NetApp?,"NetApp HR Bot,Talent Acquisition,Internal Job Opportunities",
overlapping_alternate_questions,"{'alternate': [""Why can't I share the answers the performance differentiation questions with my employee?"", ""Why can't I share the answers to the performance differentiation questions with my employee?""]}","NetApp HR Bot,Thrive Program,Performance",
overlapping_alternate_questions,"{'alternate': ['is it possible to have more than the reward guidelines for equity?', 'is it possible to have more than the reward guidelines for ICP?', 'is it possible to have more than the reward guidelines for salary?']}","NetApp HR Bot,Thrive Program,Thrive Rewards",
